"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN CONSUMPTION (tons)","NITROGEN SHARE IN NPK (Percent)","NITROGEN PER HA OF NCA (Kg per ha)","NITROGEN PER HA OF GCA (Kg per ha)","PHOSPHATE CONSUMPTION (tons)","PHOSPHATE SHARE IN NPK (Percent)","PHOSPHATE PER HA OF NCA (Kg per ha)","PHOSPHATE PER HA OF GCA (Kg per ha)","POTASH CONSUMPTION (tons)","POTASH SHARE IN NPK (Percent)","POTASH PER HA OF NCA (Kg per ha)","POTASH PER HA OF GCA (Kg per ha)","TOTAL CONSUMPTION (tons)","TOTAL PER HA OF NCA (Kg per ha)","TOTAL PER HA OF GCA (Kg per ha)"
"95","2008","7","Maharashtra","Bombay","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"95","2011","7","Maharashtra","Bombay","31948.0","72.66","0.0","0.0","10504.0","23.89","0.0","0.0","1518.0","3.45","0.0","0.0","43970.0","0.0","0.0"
"96","2008","7","Maharashtra","Thane","18098.0","82.18","73.99","72.36","2059.0","9.35","8.42","8.23","1866.0","8.47","7.63","7.46","22023.0","90.04","88.06"
"96","2009","7","Maharashtra","Thane","17863.0","77.69","73.03","71.42","3346.0","14.55","13.68","13.38","1783.0","7.75","7.29","7.13","22992.0","94.0","91.93"
"96","2010","7","Maharashtra","Thane","15261.0","76.44","62.39","50.79","2769.0","13.87","11.32","9.21","1935.0","9.69","7.91","6.44","19965.0","81.62","66.44"
"96","2011","7","Maharashtra","Thane","15244.0","78.69","62.32","47.06","2468.0","12.74","10.09","7.62","1661.0","8.57","6.79","5.13","19373.0","79.2","59.81"
"96","2012","7","Maharashtra","Thane","16722.0","80.2","68.36","66.86","2218.0","10.64","9.07","8.87","1911.0","9.17","7.81","7.64","20851.0","85.25","83.37"
"96","2013","7","Maharashtra","Thane","17433.0","77.35","71.27","69.7","2994.0","13.28","12.24","11.97","2112.0","9.37","8.63","8.44","22539.0","92.15","90.12"
"96","2014","7","Maharashtra","Thane","18932.0","80.44","80.05","78.23","2487.0","10.57","10.52","10.28","2116.0","8.99","8.95","8.74","23535.0","99.51","97.25"
"96","2015","7","Maharashtra","Thane","18891.0","81.03","79.88","78.06","2580.0","11.07","10.91","10.66","1843.0","7.91","7.79","7.62","23314.0","98.58","96.34"
"96","2016","7","Maharashtra","Thane","16452.0","78.56","66.91","65.44","2564.0","12.24","10.43","10.2","1924.0","9.19","7.82","7.65","20941.0","85.16","83.3"
"96","2017","7","Maharashtra","Thane","16562.0","78.15","67.33","65.85","2610.0","12.32","10.61","10.38","2021.0","9.54","8.22","8.04","21193.0","86.15","84.27"
"97","2008","7","Maharashtra","Raigad","11350.0","76.64","60.18","52.64","2464.0","16.64","13.06","11.43","996.0","6.73","5.28","4.62","14810.0","78.53","68.69"
"97","2009","7","Maharashtra","Raigad","11986.0","71.79","63.55","55.59","1638.0","9.81","8.69","7.6","3073.0","18.4","16.29","14.25","16697.0","88.53","77.44"
"97","2010","7","Maharashtra","Raigad","11713.0","72.76","62.1","52.81","2692.0","16.72","14.27","12.14","1694.0","10.52","8.98","7.64","16099.0","85.36","72.58"
"97","2011","7","Maharashtra","Raigad","11554.0","84.4","61.26","49.0","1305.0","9.53","6.92","5.53","830.0","6.06","4.4","3.52","13689.0","72.58","58.05"
"97","2012","7","Maharashtra","Raigad","11443.0","79.66","60.67","53.08","1905.0","13.26","10.1","8.84","1017.0","7.08","5.39","4.72","14365.0","76.17","66.63"
"97","2013","7","Maharashtra","Raigad","11299.0","71.17","59.91","52.41","2952.0","18.6","15.65","13.69","1624.0","10.23","8.61","7.53","15875.0","84.17","73.63"
"97","2014","7","Maharashtra","Raigad","13595.0","80.9","72.12","62.94","1817.0","10.81","9.64","8.41","1392.0","8.28","7.38","6.44","16804.0","89.15","77.8"
"97","2015","7","Maharashtra","Raigad","12719.0","78.9","67.47","59.02","1989.0","12.34","10.55","9.23","1412.0","8.76","7.49","6.55","16120.0","85.52","74.8"
"97","2016","7","Maharashtra","Raigad","10918.0","72.77","58.98","51.48","2457.0","16.38","13.27","11.58","1629.0","10.86","8.8","7.68","15004.0","81.06","70.74"
"97","2017","7","Maharashtra","Raigad","8955.0","78.49","46.91","41.19","1235.0","10.82","6.47","5.68","1219.0","10.68","6.39","5.61","11409.0","59.76","52.48"
"98","2008","7","Maharashtra","Ratnagiri","10343.0","61.66","26.89","24.94","3569.0","21.28","9.28","8.61","2861.0","17.06","7.44","6.9","16773.0","43.61","40.45"
"98","2009","7","Maharashtra","Ratnagiri","11103.0","59.52","28.87","26.77","4974.0","26.67","12.93","11.99","2576.0","13.81","6.7","6.21","18653.0","48.5","44.97"
"98","2010","7","Maharashtra","Ratnagiri","16933.0","60.49","44.02","30.16","7086.0","25.31","18.42","12.62","3974.0","14.2","10.33","7.08","27993.0","72.77","49.85"
"98","2011","7","Maharashtra","Ratnagiri","11141.0","64.84","28.96","18.96","4176.0","24.3","10.86","7.11","1865.0","10.85","4.85","3.17","17182.0","44.66","29.25"
"98","2012","7","Maharashtra","Ratnagiri","10795.0","69.69","27.37","25.42","2663.0","17.19","6.75","6.27","2032.0","13.12","5.15","4.79","15490.0","39.27","36.48"
"98","2013","7","Maharashtra","Ratnagiri","10968.0","71.94","27.75","25.95","2402.0","15.75","6.08","5.68","1877.0","12.31","4.75","4.44","15247.0","38.58","36.08"
"98","2014","7","Maharashtra","Ratnagiri","11034.0","68.81","27.94","26.15","2706.0","16.87","6.85","6.41","2296.0","14.32","5.81","5.44","16036.0","40.61","38.0"
"98","2015","7","Maharashtra","Ratnagiri","13365.0","65.1","33.9","31.69","4214.0","20.53","10.69","9.99","2951.0","14.37","7.48","7.0","20530.0","52.07","48.68"
"98","2016","7","Maharashtra","Ratnagiri","10736.0","62.3","27.18","25.42","3764.0","21.84","9.53","8.91","2732.0","15.85","6.92","6.47","17233.0","43.63","40.8"
"98","2017","7","Maharashtra","Ratnagiri","11045.0","66.09","28.16","26.32","3303.0","19.76","8.42","7.87","2364.0","14.15","6.03","5.63","16712.0","42.61","39.83"
"99","2008","7","Maharashtra","Nasik","85549.0","53.65","96.94","85.38","52105.0","32.68","59.04","52.0","21793.0","13.67","24.69","21.75","159447.0","180.68","159.13"
"99","2009","7","Maharashtra","Nasik","91858.0","53.59","104.38","93.24","53508.0","31.22","60.8","54.31","26049.0","15.2","29.6","26.44","171415.0","194.79","173.99"
"99","2010","7","Maharashtra","Nasik","94346.0","51.59","107.03","98.38","62596.0","34.23","71.01","65.27","25946.0","14.19","29.43","27.06","182888.0","207.47","190.71"
"99","2011","7","Maharashtra","Nasik","86145.0","52.72","97.53","68.98","59335.0","36.31","67.17","47.51","17918.0","10.97","20.29","14.35","163398.0","184.99","130.84"
"99","2012","7","Maharashtra","Nasik","77097.0","57.12","87.28","77.58","39087.0","28.96","44.25","39.33","18791.0","13.92","21.27","18.91","134975.0","152.81","135.82"
