"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN KHARIF CONSUMPTION (tons)","NITROGEN RABI CONSUMPTION (tons)","PHOSPHATE KHARIF CONSUMPTION (tons)","PHOSPHATE RABI CONSUMPTION (tons)","POTASH KHARIF CONSUMPTION (tons)","POTASH RABI CONSUMPTION (tons)","TOTAL KHARIF CONSUMPTION (tons)","TOTAL RABI CONSUMPTION (tons)"
"95","2008","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","2011","7","Maharashtra","Bombay","16627.0","15321.0","4516.0","5988.0","658.0","860.0","21801.0","22169.0"
"96","2008","7","Maharashtra","Thane","12631.0","5467.0","1016.0","1043.0","1004.0","862.0","14651.0","7372.0"
"96","2009","7","Maharashtra","Thane","13042.0","4821.0","2260.0","1086.0","863.0","920.0","16165.0","6827.0"
"96","2010","7","Maharashtra","Thane","12052.0","3209.0","1576.0","1193.0","1197.0","738.0","14825.0","5140.0"
"96","2011","7","Maharashtra","Thane","10854.0","4390.0","1003.0","1465.0","774.0","887.0","12631.0","6742.0"
"96","2012","7","Maharashtra","Thane","12550.0","4172.0","1140.0","1078.0","975.0","936.0","14665.0","6186.0"
"96","2013","7","Maharashtra","Thane","12547.0","4886.0","1352.0","1642.0","889.0","1223.0","14788.0","7751.0"
"96","2014","7","Maharashtra","Thane","13026.0","5906.0","959.0","1528.0","861.0","1255.0","14846.0","8689.0"
"96","2015","7","Maharashtra","Thane","13658.0","5233.0","894.0","1686.0","656.0","1187.0","15208.0","8106.0"
"96","2016","7","Maharashtra","Thane","11738.0","4714.0","880.0","1684.0","605.0","1319.0","13224.0","7717.0"
"96","2017","7","Maharashtra","Thane","12011.0","4551.0","804.0","1806.0","656.0","1365.0","13471.0","7722.0"
"97","2008","7","Maharashtra","Raigad","9161.0","2189.0","1621.0","843.0","478.0","518.0","11260.0","3550.0"
"97","2009","7","Maharashtra","Raigad","9816.0","2170.0","1296.0","342.0","2477.0","596.0","13589.0","3108.0"
"97","2010","7","Maharashtra","Raigad","9317.0","2396.0","1123.0","1569.0","512.0","1182.0","10952.0","5147.0"
"97","2011","7","Maharashtra","Raigad","9181.0","2373.0","669.0","636.0","402.0","428.0","10252.0","3437.0"
"97","2012","7","Maharashtra","Raigad","9340.0","2103.0","829.0","1076.0","263.0","754.0","10432.0","3933.0"
"97","2013","7","Maharashtra","Raigad","8685.0","2614.0","1066.0","1886.0","833.0","791.0","10584.0","5291.0"
"97","2014","7","Maharashtra","Raigad","10171.0","3424.0","656.0","1161.0","757.0","635.0","11584.0","5220.0"
"97","2015","7","Maharashtra","Raigad","10007.0","2712.0","1338.0","651.0","923.0","489.0","12268.0","3852.0"
"97","2016","7","Maharashtra","Raigad","8884.0","2034.0","1520.0","937.0","917.0","712.0","11321.0","3683.0"
"97","2017","7","Maharashtra","Raigad","8097.0","858.0","809.0","426.0","450.0","769.0","9356.0","2053.0"
"98","2008","7","Maharashtra","Ratnagiri","9616.0","727.0","3093.0","476.0","2525.0","336.0","15234.0","1539.0"
"98","2009","7","Maharashtra","Ratnagiri","10079.0","1024.0","2792.0","2182.0","2099.0","477.0","14970.0","3683.0"
"98","2010","7","Maharashtra","Ratnagiri","15771.0","1162.0","6251.0","835.0","3593.0","381.0","25615.0","2378.0"
"98","2011","7","Maharashtra","Ratnagiri","9738.0","1403.0","3105.0","1071.0","1295.0","570.0","14138.0","3044.0"
"98","2012","7","Maharashtra","Ratnagiri","10246.0","549.0","2335.0","328.0","1760.0","272.0","14341.0","1149.0"
"98","2013","7","Maharashtra","Ratnagiri","9664.0","1304.0","1894.0","508.0","1423.0","454.0","12981.0","2266.0"
"98","2014","7","Maharashtra","Ratnagiri","10068.0","966.0","2368.0","338.0","1913.0","383.0","14349.0","1687.0"
"98","2015","7","Maharashtra","Ratnagiri","10409.0","2956.0","2508.0","1706.0","2054.0","897.0","14971.0","5559.0"
"98","2016","7","Maharashtra","Ratnagiri","9615.0","1121.0","2791.0","974.0","2175.0","557.0","14581.0","2652.0"
"98","2017","7","Maharashtra","Ratnagiri","10352.0","693.0","2968.0","335.0","2120.0","244.0","15440.0","1272.0"
"99","2008","7","Maharashtra","Nasik","45078.0","40471.0","26144.0","25961.0","11823.0","9970.0","83045.0","76402.0"
"99","2009","7","Maharashtra","Nasik","52472.0","39386.0","31957.0","21551.0","11471.0","14578.0","95900.0","75515.0"
"99","2010","7","Maharashtra","Nasik","51609.0","42737.0","39088.0","23508.0","13576.0","12370.0","104273.0","78615.0"
"99","2011","7","Maharashtra","Nasik","49417.0","36728.0","33076.0","26259.0","6313.0","11605.0","88806.0","74592.0"
"99","2012","7","Maharashtra","Nasik","44832.0","32265.0","21974.0","17113.0","9055.0","9736.0","75861.0","59114.0"
"99","2013","7","Maharashtra","Nasik","52344.0","39487.0","26074.0","25126.0","10365.0","11905.0","88783.0","76518.0"
"99","2014","7","Maharashtra","Nasik","45579.0","43945.0","24259.0","23302.0","14325.0","11793.0","84163.0","79040.0"
"99","2015","7","Maharashtra","Nasik","46835.0","34075.0","23968.0","26470.0","11001.0","13207.0","81804.0","73752.0"
"99","2016","7","Maharashtra","Nasik","48601.0","42310.0","22152.0","27356.0","9399.0","13552.0","80152.0","83218.0"
"99","2017","7","Maharashtra","Nasik","53739.0","46240.0","29698.0","34408.0","15047.0","19165.0","98484.0","99813.0"
"100","2008","7","Maharashtra","Dhule","44601.0","23164.0","15837.0","8902.0","12067.0","5245.0","72505.0","37311.0"
"100","2009","7","Maharashtra","Dhule","43691.0","28554.0","17017.0","11145.0","9316.0","12026.0","70024.0","51725.0"
"100","2010","7","Maharashtra","Dhule","40898.0","32186.0","24425.0","11035.0","13928.0","11570.0","79251.0","54791.0"
"100","2011","7","Maharashtra","Dhule","45121.0","24063.0","17068.0","12849.0","4225.0","10422.0","66414.0","47334.0"
"100","2012","7","Maharashtra","Dhule","42838.0","29234.0","14876.0","9681.0","11391.0","7941.0","69105.0","46856.0"
"100","2013","7","Maharashtra","Dhule","48758.0","30377.0","12795.0","12679.0","13112.0","7560.0","74665.0","50616.0"
"100","2014","7","Maharashtra","Dhule","45961.0","31535.0","15873.0","10157.0","15261.0","8960.0","77095.0","50652.0"
"100","2015","7","Maharashtra","Dhule","47837.0","30612.0","15949.0","15073.0","15858.0","12251.0","79644.0","57936.0"
"100","2016","7","Maharashtra","Dhule","44739.0","29616.0","14865.0","12300.0","13991.0","8753.0","73595.0","50669.0"
"100","2017","7","Maharashtra","Dhule","51302.0","23009.0","18243.0","12037.0","19450.0","8850.0","88995.0","43896.0"
"101","2008","7","Maharashtra","Jalgaon","73605.0","37142.0","33350.0","20410.0","37411.0","21715.0","144366.0","79267.0"
"101","2009","7","Maharashtra","Jalgaon","77124.0","46218.0","42757.0","22380.0","31683.0","30473.0","151564.0","99071.0"
"101","2010","7","Maharashtra","Jalgaon","62053.0","76824.0","44347.0","37008.0","44539.0","45302.0","150939.0","159134.0"
"101","2011","7","Maharashtra","Jalgaon","69421.0","32729.0","33358.0","19153.0","16227.0","27103.0","119006.0","78985.0"
"101","2012","7","Maharashtra","Jalgaon","61543.0","31993.0","24182.0","13605.0","30150.0","15362.0","115875.0","60960.0"
"101","2013","7","Maharashtra","Jalgaon","71569.0","41755.0","23001.0","19770.0","33786.0","18908.0","128356.0","80433.0"
"101","2014","7","Maharashtra","Jalgaon","68139.0","50493.0","28808.0","16816.0","41976.0","20604.0","138923.0","87913.0"
"101","2015","7","Maharashtra","Jalgaon","67513.0","32112.0","26348.0","20488.0","33872.0","25769.0","127733.0","78369.0"
"101","2016","7","Maharashtra","Jalgaon","63587.0","43359.0","23294.0","22647.0","35668.0","23895.0","122550.0","89901.0"
"101","2017","7","Maharashtra","Jalgaon","64392.0","32380.0","28487.0","19209.0","54243.0","19915.0","147122.0","71504.0"
"102","2008","7","Maharashtra","Ahmednagar","38096.0","46543.0","21108.0","31228.0","14707.0","15289.0","73911.0","93060.0"
"102","2009","7","Maharashtra","Ahmednagar","49436.0","45207.0","35388.0","33457.0","17120.0","23475.0","101944.0","102139.0"
"102","2010","7","Maharashtra","Ahmednagar","49842.0","50060.0","38887.0","33731.0","26351.0","25287.0","115080.0","109078.0"
"102","2011","7","Maharashtra","Ahmednagar","55849.0","41595.0","35097.0","27993.0","6495.0","17439.0","97441.0","87027.0"
"102","2012","7","Maharashtra","Ahmednagar","44438.0","30932.0","21362.0","20499.0","14029.0","10430.0","79829.0","61861.0"
"102","2013","7","Maharashtra","Ahmednagar","51135.0","45606.0","25686.0","29578.0","14106.0","17806.0","90927.0","92990.0"
"102","2014","7","Maharashtra","Ahmednagar","42544.0","45771.0","24143.0","24035.0","20411.0","16034.0","87098.0","85840.0"
"102","2015","7","Maharashtra","Ahmednagar","39617.0","30643.0","20147.0","28049.0","10787.0","16712.0","70551.0","75404.0"
"102","2016","7","Maharashtra","Ahmednagar","43650.0","55356.0","20536.0","33904.0","12006.0","19520.0","76192.0","108780.0"
"102","2017","7","Maharashtra","Ahmednagar","50288.0","54876.0","27171.0","39102.0","17515.0","24368.0","94974.0","118346.0"
"103","2008","7","Maharashtra","Pune","35667.0","48363.0","18752.0","26817.0","11956.0","18467.0","66375.0","93647.0"
"103","2009","7","Maharashtra","Pune","47785.0","48556.0","31122.0","31885.0","18371.0","25947.0","97278.0","106388.0"
"103","2010","7","Maharashtra","Pune","52472.0","47195.0","38419.0","25519.0","22977.0","20887.0","113868.0","93601.0"
"103","2011","7","Maharashtra","Pune","51951.0","50490.0","31979.0","32862.0","6411.0","20404.0","90341.0","103756.0"
"103","2012","7","Maharashtra","Pune","41483.0","40976.0","17091.0","21283.0","9092.0","15320.0","67666.0","77579.0"
"103","2013","7","Maharashtra","Pune","46416.0","53638.0","19638.0","30283.0","12614.0","21670.0","78668.0","105591.0"
"103","2014","7","Maharashtra","Pune","36105.0","53128.0","18719.0","24543.0","13259.0","20829.0","68083.0","98500.0"
"103","2015","7","Maharashtra","Pune","40465.0","44257.0","18114.0","29894.0","11268.0","17105.0","69847.0","91256.0"
"103","2016","7","Maharashtra","Pune","42977.0","52366.0","16658.0","25458.0","10566.0","18856.0","70201.0","96680.0"
"103","2017","7","Maharashtra","Pune","44520.0","52718.0","19715.0","28575.0","14635.0","19821.0","78870.0","101114.0"
"104","2008","7","Maharashtra","Satara","32193.0","30256.0","20613.0","15738.0","15083.0","18281.0","67889.0","64275.0"
"104","2009","7","Maharashtra","Satara","28719.0","28443.0","15903.0","16110.0","8444.0","13401.0","53066.0","57954.0"
"104","2010","7","Maharashtra","Satara","25354.0","24725.0","19082.0","14411.0","12356.0","12418.0","56792.0","51554.0"
"104","2011","7","Maharashtra","Satara","27906.0","28584.0","14797.0","15551.0","4506.0","11402.0","47209.0","55537.0"
"104","2012","7","Maharashtra","Satara","22042.0","22209.0","10419.0","9870.0","6609.0","8879.0","39070.0","40958.0"
"104","2013","7","Maharashtra","Satara","22492.0","24604.0","10445.0","12875.0","7267.0","10827.0","40204.0","48306.0"
"104","2014","7","Maharashtra","Satara","23786.0","26080.0","10809.0","12753.0","9643.0","10754.0","44238.0","49587.0"
"104","2015","7","Maharashtra","Satara","23389.0","21694.0","12137.0","10878.0","7210.0","8827.0","42736.0","41399.0"
"104","2016","7","Maharashtra","Satara","23324.0","28067.0","12234.0","12113.0","8074.0","9641.0","43633.0","49821.0"
"104","2017","7","Maharashtra","Satara","23298.0","25966.0","11438.0","14366.0","9231.0","10695.0","43967.0","51027.0"
"105","2008","7","Maharashtra","Sangli","36212.0","34825.0","16773.0","16368.0","15896.0","18761.0","68881.0","69954.0"
