"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)","WHEAT IRRIGATED AREA (1000 ha)","KHARIF SORGHUM IRRIGATED AREA (1000 ha)","RABI SORGHUM IRRIGATED AREA (1000 ha)","SORGHUM IRRIGATED AREA (1000 ha)","PEARL MILLET IRRIGATED AREA (1000 ha)","MAIZE IRRIGATED AREA (1000 ha)","FINGER MILLET IRRIGATED AREA (1000 ha)","BARLEY IRRIGATED AREA (1000 ha)","CHICKPEA IRRIGATED AREA (1000 ha)","PIGEONPEA IRRIGATED AREA (1000 ha)","MINOR PULSES IRRIGATED AREA (1000 ha)","PULSES IRRIGATED AREA (1000 ha)","GROUNDNUT IRRIGATED AREA (1000 ha)","SESAMUM IRRIGATED AREA (1000 ha)","LINSEED IRRIGATED AREA (1000 ha)","SUGARCANE IRRIGATED AREA (1000 ha)","COTTON IRRIGATED AREA (1000 ha)","FRUITS AND VEGETABLES IRRIGATED AREA (1000 ha)","FODDER IRRIGATED AREA (1000 ha)"
"96","2008","7","Maharashtra","Thane","2.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
"97","2008","7","Maharashtra","Raigad","8.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
"98","2008","7","Maharashtra","Ratnagiri","4.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.6","0.0","0.0","0.0","0.0","0.0","0.0"
"99","2008","7","Maharashtra","Nasik","1.1","70.0","0.0","0.6","0.6","6.7","0.6","0.0","0.0","21.1","0.0","0.0","0.0","2.2","0.0","0.0","0.0","0.3","0.0","0.0"
"100","2008","7","Maharashtra","Dhule","0.9","30.7","0.0","0.0","0.0","0.0","0.9","0.0","0.0","12.9","0.0","0.0","0.0","7.8","0.0","0.0","0.0","13.5","0.0","0.0"
"101","2008","7","Maharashtra","Jalgaon","0.0","31.6","0.0","13.0","13.0","0.0","1.2","0.0","0.0","24.0","0.0","0.0","0.0","3.6","0.0","0.0","0.0","22.7","0.0","0.0"
"102","2008","7","Maharashtra","Ahmednagar","0.0","137.8","0.0","80.5","80.5","5.8","3.1","0.0","0.0","49.1","0.0","0.0","0.0","6.1","0.0","0.0","0.0","4.3","0.0","0.0"
"103","2008","7","Maharashtra","Pune","0.5","54.5","0.1","64.0","64.1","7.8","1.1","0.0","0.0","21.4","0.0","0.0","0.0","6.1","0.0","0.0","0.0","0.0","0.0","0.0"
"104","2008","7","Maharashtra","Satara","7.4","34.9","1.9","44.4","46.3","1.8","0.9","0.0","0.0","12.6","0.0","0.0","0.0","4.6","0.0","0.0","0.0","1.3","0.0","0.0"
"105","2008","7","Maharashtra","Sangli","2.0","24.6","1.2","26.6","27.8","0.3","1.5","0.0","0.0","4.6","0.0","0.0","0.0","0.8","0.0","0.0","0.0","1.3","0.0","0.0"
