"Dist Code","Year","State Code","State Name","Dist Name","TOTAL AREA (1000 ha)","FOREST AREA (1000 ha)","BARREN AND UNCULTIVABLE LAND AREA (1000 ha)","LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha)","CULTIVABLE WASTE LAND AREA (1000 ha)","PERMANENT PASTURES AREA (1000 ha)","OTHER FALLOW AREA (1000 ha)","CURRENT FALLOW AREA (1000 ha)","NET CROPPED AREA (1000 ha)","GROSS CROPPED AREA (1000 ha)","CROPING INTENSITY (Percent)"
"95","2008","7","Maharashtra","Bombay","38.0","1.5","7.3","28.6","0.0","0.6","0.0","0.0","0.0","0.0","0.0"
"95","2009","7","Maharashtra","Bombay","38.0","1.5","7.3","28.6","0.0","0.6","0.0","0.0","0.0","0.0","0.0"
"95","2010","7","Maharashtra","Bombay","38.0","1.5","7.3","28.6","0.0","0.6","0.0","0.0","0.0","0.0","0.0"
"95","2011","7","Maharashtra","Bombay","38.0","1.5","7.3","28.6","0.0","0.6","0.0","0.0","0.0","0.0","0.0"
"95","2012","7","Maharashtra","Bombay","38.0","1.5","7.3","28.6","0.0","0.6","0.0","0.0","0.0","0.0","0.0"
"95","2013","7","Maharashtra","Bombay","38.0","1.5","7.3","28.6","0.0","0.6","0.0","0.0","0.0","0.0","0.0"
"95","2014","7","Maharashtra","Bombay","39.5","3.0","7.3","28.6","0.0","0.6","0.0","0.0","0.0","0.0","0.0"
"95","2015","7","Maharashtra","Bombay","38.0","1.5","7.3","28.6","0.0","0.6","0.0","0.0","0.0","0.0","0.0"
"95","2016","7","Maharashtra","Bombay","38.0","1.5","7.3","28.6","0.0","0.6","0.0","0.0","0.0","0.0","0.0"
"95","2017","7","Maharashtra","Bombay","38.0","1.5","7.3","28.6","0.0","0.6","0.0","0.0","0.0","0.0","0.0"
"96","2008","7","Maharashtra","Thane","933.7","396.4","56.6","94.6","34.2","54.0","19.0","9.4","244.6","250.1","102.25"
"96","2009","7","Maharashtra","Thane","933.7","396.4","56.6","94.6","34.2","54.0","19.0","9.4","244.6","250.1","102.25"
"96","2010","7","Maharashtra","Thane","933.7","396.4","56.6","94.6","34.2","54.0","19.0","9.4","244.6","300.5","122.85"
"96","2011","7","Maharashtra","Thane","933.7","396.4","56.6","94.6","34.2","54.0","19.0","9.4","244.6","323.9","132.42"
"96","2012","7","Maharashtra","Thane","933.7","396.4","56.6","94.6","34.2","54.0","19.0","9.4","244.6","250.1","102.25"
"96","2013","7","Maharashtra","Thane","933.7","396.4","56.6","94.6","34.2","54.0","19.0","9.4","244.6","250.1","102.25"
"96","2014","7","Maharashtra","Thane","933.6","396.2","57.6","94.5","34.9","60.6","19.0","9.4","236.5","242.0","102.33"
"96","2015","7","Maharashtra","Thane","933.7","396.2","57.6","94.5","34.9","60.6","19.0","9.4","236.5","242.0","102.33"
"96","2016","7","Maharashtra","Thane","933.7","396.2","57.6","94.5","34.9","60.6","19.0","0.0","245.9","251.4","102.24"
"96","2017","7","Maharashtra","Thane","933.7","396.2","57.6","94.5","34.9","60.6","19.0","9.4","246.0","251.5","102.24"
"97","2008","7","Maharashtra","Raigad","686.9","150.0","128.4","58.9","38.0","40.1","45.9","14.4","188.6","215.6","114.32"
"97","2009","7","Maharashtra","Raigad","686.9","150.0","128.4","58.9","38.0","40.1","45.9","14.4","188.6","215.6","114.32"
"97","2010","7","Maharashtra","Raigad","686.9","150.0","128.4","58.9","38.0","40.1","45.9","14.4","188.6","221.8","117.6"
"97","2011","7","Maharashtra","Raigad","686.9","150.0","128.4","58.9","38.0","40.1","45.9","14.4","188.6","235.8","125.03"
"97","2012","7","Maharashtra","Raigad","686.9","150.0","128.4","58.9","38.0","40.1","45.9","14.4","188.6","215.6","114.32"
"97","2013","7","Maharashtra","Raigad","686.9","150.0","128.4","58.9","38.0","40.1","45.9","14.4","188.6","215.6","114.32"
"97","2014","7","Maharashtra","Raigad","686.8","150.0","128.4","58.9","38.0","40.1","45.9","14.4","188.5","216.0","114.59"
"97","2015","7","Maharashtra","Raigad","686.9","150.0","128.4","58.9","38.0","40.1","45.9","14.4","188.5","215.5","114.32"
"97","2016","7","Maharashtra","Raigad","686.8","147.5","133.9","59.0","38.0","40.3","45.9","14.5","185.1","212.1","114.59"
"97","2017","7","Maharashtra","Raigad","686.8","146.8","130.6","58.8","37.4","40.1","45.9","13.8","190.9","217.4","113.88"
