"Dist Code","Year","State Code","State Name","Dist Name","JANUARY RAINFALL (Millimeters)","FEBRUARY RAINFALL (Millimeters)","MARCH RAINFALL (Millimeters)","APRIL RAINFALL (Millimeters)","MAY RAINFALL (Millimeters)","JUNE RAINFALL (Millimeters)","JULY RAINFALL (Millimeters)","AUGUST RAINFALL (Millimeters)","SEPTEMBER RAINFALL (Millimeters)","OCTOBER RAINFALL (Millimeters)","NOVEMBER RAINFALL (Millimeters)","DECEMBER RAINFALL (Millimeters)","ANNUAL RAINFALL (Millimeters)"
"95","2008","7","Maharashtra","Bombay","0.0","0.0","0.1","0.0","0.5","768.0","910.2","498.8","338.0","15.4","1.6","0.2","2532.8"
"95","2009","7","Maharashtra","Bombay","0.0","0.0","0.0","0.0","1.3","241.0","956.8","247.4","420.8","190.8","0.0","0.0","2058.1"
"95","2012","7","Maharashtra","Bombay","0.0","0.0","0.0","0.0","0.0","233.8","510.2","448.8","453.6","162.4","0.0","0.0","1808.8"
"95","2013","7","Maharashtra","Bombay","0.0","0.0","0.0","0.0","0.0","992.3","915.3","245.6","248.5","75.8","3.2","0.3","2480.8"
"95","2014","7","Maharashtra","Bombay","0.5","3.9","0.0","0.0","0.0","71.3","1412.1","445.2","288.8","34.8","5.0","15.8","2277.2"
"95","2015","7","Maharashtra","Bombay","0.0","0.0","13.3","0.7","1.2","986.5","319.7","171.1","236.8","52.3","1.6","0.0","1783.1"
"96","2008","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","528.0","925.1","846.5","443.9","37.7","0.1","0.1","2781.4"
"96","2009","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","131.1","1290.5","176.2","203.2","189.2","0.0","0.0","1990.2"
"96","2012","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","241.0","725.7","544.4","577.3","104.5","0.0","0.0","2192.9"
"96","2013","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","12.5","911.2","1157.7","483.6","357.6","103.8","0.1","0.0","3026.5"
"96","2014","7","Maharashtra","Thane","0.3","2.8","0.7","0.1","0.5","111.9","1266.8","625.8","426.5","34.1","2.8","0.0","2472.3"
"96","2015","7","Maharashtra","Thane","0.0","0.0","21.9","0.0","0.0","545.4","657.9","258.6","235.8","60.6","47.7","0.0","1827.9"
"97","2008","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.0","815.4","912.9","965.5","542.2","86.2","0.4","0.6","3323.2"
"97","2009","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.1","205.4","1185.3","287.5","349.3","228.9","0.0","0.0","2256.5"
"97","2012","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.0","441.8","937.8","898.1","618.7","174.9","0.0","0.0","3071.3"
"97","2013","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.3","1177.7","1712.0","457.8","332.7","112.7","3.0","6.5","3802.7"
"97","2014","7","Maharashtra","Raigad","0.0","1.0","0.3","0.0","6.5","154.2","1418.6","752.0","521.7","69.9","9.2","24.1","2957.5"
"97","2015","7","Maharashtra","Raigad","0.0","0.0","54.2","1.6","11.5","897.6","543.3","365.6","247.8","106.1","16.7","0.0","2244.4"
"98","2008","7","Maharashtra","Ratnagiri","0.0","0.0","5.2","0.0","40.5","871.7","660.3","826.4","520.9","55.2","0.1","10.9","2991.2"
"98","2009","7","Maharashtra","Ratnagiri","0.0","0.0","0.6","0.0","0.3","316.5","1350.7","402.6","512.5","291.2","0.0","0.0","2874.4"
"98","2012","7","Maharashtra","Ratnagiri","0.0","0.0","0.0","0.0","0.7","783.0","1261.7","871.5","537.7","266.1","0.0","0.0","3720.7"
"98","2013","7","Maharashtra","Ratnagiri","0.0","0.2","0.0","0.0","12.1","1352.0","1786.0","593.7","352.8","260.3","0.3","0.0","4357.4"
