"Dist Code","Year","State Code","State Name","Dist Name","JANUARY NORMAL RAINFALL (Millimeters)","FEBRUARY NORMAL RAINFALL (Millimeters)","MARCH NORMAL RAINFALL (Millimeters)","APRIL NORMAL RAINFALL (Millimeters)","MAY NORMAL RAINFALL (Millimeters)","JUNE NORMAL RAINFALL (Millimeters)","JULY NORMAL RAINFALL (Millimeters)","AUGUST NORMAL RAINFALL (Millimeters)","SEPTEMBER NORMAL RAINFALL (Millimeters)","OCTOBER NORMAL RAINFALL (Millimeters)","NOVEMBER NORMAL RAINFALL (Millimeters)","DECEMBER NORMAL RAINFALL (Millimeters)","ANNUAL NORMAL RAINFALL (Millimeters)"
"95","Average 30 years","7","Maharashtra","Bombay","2.0","1.0","0.0","3.0","16.0","520.0","710.0","439.0","297.0","88.0","21.0","2.0","2099.0"
"96","Average 30 years","7","Maharashtra","Thane","1.0","0.0","0.0","0.0","9.0","597.0","936.0","544.0","427.0","94.0","9.0","0.0","2617.0"
"97","Average 30 years","7","Maharashtra","Raigad","2.0","1.0","2.0","12.0","30.0","509.0","967.0","635.0","346.0","110.0","36.0","4.0","2655.0"
"98","Average 30 years","7","Maharashtra","Ratnagiri","0.0","0.0","0.0","3.0","32.0","916.0","969.0","661.0","239.0","169.0","34.0","2.0","3025.0"
"99","Average 30 years","7","Maharashtra","Nasik","4.0","3.0","1.0","4.0","15.0","110.0","109.0","95.0","154.0","56.0","36.0","4.0","591.0"
"100","Average 30 years","7","Maharashtra","Dhule","4.0","2.0","2.0","3.0","13.0","126.0","200.0","153.0","160.0","46.0","25.0","4.0","738.0"
"101","Average 30 years","7","Maharashtra","Jalgaon","5.0","2.0","5.0","2.0","13.0","143.0","242.0","194.0","159.0","48.0","22.0","6.0","841.0"
"102","Average 30 years","7","Maharashtra","Ahmednagar","3.0","0.0","5.0","11.0","26.0","131.0","102.0","98.0","175.0","84.0","33.0","8.0","676.0"
"103","Average 30 years","7","Maharashtra","Pune","2.0","0.0","3.0","18.0","35.0","103.0","187.0","106.0","127.0","92.0","37.0","5.0","715.0"
"104","Average 30 years","7","Maharashtra","Satara","3.0","1.0","4.0","24.0","45.0","133.0","400.0","199.0","130.0","124.0","49.0","7.0","1119.0"
"105","Average 30 years","7","Maharashtra","Sangli","3.0","1.0","7.0","25.0","49.0","67.0","115.0","80.0","96.0","89.0","31.0","8.0","571.0"
"106","Average 30 years","7","Maharashtra","Solapur","4.0","2.0","7.0","16.0","26.0","109.0","128.0","140.0","184.0","92.0","28.0","7.0","743.0"
"107","Average 30 years","7","Maharashtra","Kolhapur","0.0","1.0","9.0","33.0","77.0","163.0","375.0","213.0","103.0","122.0","40.0","1.0","1137.0"
"108","Average 30 years","7","Maharashtra","Aurangabad","3.0","3.0","4.0","7.0","17.0","141.0","189.0","140.0","179.0","62.0","32.0","9.0","786.0"
"109","Average 30 years","7","Maharashtra","Parbhani","4.0","6.0","6.0","13.0","22.0","144.0","226.0","175.0","207.0","64.0","31.0","7.0","905.0"
"110","Average 30 years","7","Maharashtra","Beed","7.0","6.0","6.0","8.0","14.0","112.0","121.0","108.0","211.0","51.0","33.0","8.0","685.0"
"111","Average 30 years","7","Maharashtra","Nanded","8.0","13.0","7.0","9.0","14.0","152.0","223.0","205.0","210.0","47.0","21.0","6.0","915.0"
"112","Average 30 years","7","Maharashtra","Osmanabad","5.0","4.0","7.0","17.0","21.0","148.0","161.0","149.0","211.0","54.0","24.0","8.0","809.0"
"113","Average 30 years","7","Maharashtra","Buldhana","9.0","0.0","8.0","10.0","17.0","172.0","223.0","205.0","195.0","48.0","12.0","2.0","901.0"
"114","Average 30 years","7","Maharashtra","Akola","9.0","8.0","8.0","7.0","11.0","146.0","261.0","170.0","178.0","46.0","28.0","6.0","878.0"
"115","Average 30 years","7","Maharashtra","Amarawati","15.0","13.0","12.0","13.0","12.0","149.0","286.0","210.0","186.0","50.0","24.0","6.0","976.0"
"116","Average 30 years","7","Maharashtra","Yeotmal","12.0","1.0","20.0","18.0","14.0","196.0","302.0","284.0","224.0","58.0","2.0","2.0","1133.0"
"117","Average 30 years","7","Maharashtra","Wardha","12.0","11.0","18.0","16.0","15.0","185.0","326.0","276.0","209.0","59.0","15.0","5.0","1144.0"
"118","Average 30 years","7","Maharashtra","Nagpur","11.0","23.0","17.0","16.0","21.0","222.0","376.0","286.0","185.0","55.0","20.0","10.0","1242.0"
"119","Average 30 years","7","Maharashtra","Bhandara","5.0","21.0","22.0","17.0","11.0","181.0","404.0","363.0","235.0","73.0","14.0","3.0","1349.0"
"120","Average 30 years","7","Maharashtra","Chandrapur","9.0","21.0","18.0","25.0","20.0","200.0","494.0","387.0","219.0","64.0","15.0","2.0","1474.0"
