"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)"
"92","2013","11","Tamil Nadu","Thirunelveli","74.01","418.44","5653.83"
"94","2011","11","Tamil Nadu","Kanyakumari","16.62","90.11","5421.78"
"18","2017","6","Madhya Pradesh","Rewa","121.3","625.9","5159.93"
"86","2014","11","Tamil Nadu","Salem","67.32","345.33","5129.68"
"92","2014","11","Tamil Nadu","Thirunelveli","101.1","517.33","5117.01"
"88","2013","11","Tamil Nadu","Tiruchirapalli / Trichy","115.8","589.95","5094.65"
"94","2014","11","Tamil Nadu","Kanyakumari","13.18","66.94","5078.91"
"175","2017","9","Punjab","Sangrur","403.88","2038.6","5047.54"
"93","2014","11","Tamil Nadu","The Nilgiris","0.03","0.15","5000.0"
"86","2013","11","Tamil Nadu","Salem","85.72","423.97","4945.99"
"86","2017","11","Tamil Nadu","Salem","73.11","360.43","4929.77"
"94","2013","11","Tamil Nadu","Kanyakumari","13.62","66.7","4897.21"
"90","2011","11","Tamil Nadu","Madurai","99.54","486.75","4889.99"
"85","2014","11","Tamil Nadu","North Arcot / Vellore","129.71","633.96","4887.52"
"88","2014","11","Tamil Nadu","Tiruchirapalli / Trichy","125.77","609.89","4849.1"
"84","2014","11","Tamil Nadu","South Arcot / Cuddalore","306.16","1474.55","4816.27"
"171","2016","9","Punjab","Ludhiana","271.9","1307.75","4809.67"
"92","2015","11","Tamil Nadu","Thirunelveli","117.07","563.01","4809.17"
"175","2015","9","Punjab","Sangrur","390.88","1875.72","4798.71"
"175","2016","9","Punjab","Sangrur","396.88","1903.4","4795.91"
"88","2017","11","Tamil Nadu","Tiruchirapalli / Trichy","99.63","476.51","4782.99"
"171","2017","9","Punjab","Ludhiana","270.9","1283.25","4736.99"
"94","2010","11","Tamil Nadu","Kanyakumari","16.99","80.39","4731.61"
"175","2009","9","Punjab","Sangrur","381.88","1800.28","4714.26"
"175","2014","9","Punjab","Sangrur","385.88","1817.92","4711.1"
"175","2013","9","Punjab","Sangrur","386.88","1818.08","4699.34"
"171","2009","9","Punjab","Ludhiana","269.9","1264.65","4685.62"
"86","2015","11","Tamil Nadu","Salem","92.85","434.67","4681.42"
"175","2012","9","Punjab","Sangrur","388.88","1819.72","4679.39"
"86","2016","11","Tamil Nadu","Salem","80.0","374.14","4676.96"
"94","2012","11","Tamil Nadu","Kanyakumari","12.41","57.88","4663.98"
"90","2017","11","Tamil Nadu","Madurai","36.78","171.29","4656.49"
"83","2013","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","181.39","843.36","4649.43"
"175","2008","9","Punjab","Sangrur","375.8","1747.04","4648.86"
"10","2017","6","Madhya Pradesh","Narsinghpur","39.1","181.3","4636.83"
"90","2013","11","Tamil Nadu","Madurai","52.0","240.54","4625.77"
"90","2014","11","Tamil Nadu","Madurai","73.63","340.08","4618.77"
"92","2017","11","Tamil Nadu","Thirunelveli","77.0","355.16","4612.54"
"94","2008","11","Tamil Nadu","Kanyakumari","18.19","83.66","4599.23"
"171","2015","9","Punjab","Ludhiana","269.9","1238.6","4589.11"
"174","2017","9","Punjab","Bhatinda","388.94","1783.42","4585.33"
"86","2011","11","Tamil Nadu","Salem","83.06","380.75","4584.04"
"84","2013","11","Tamil Nadu","South Arcot / Cuddalore","297.93","1362.57","4573.46"
"89","2013","11","Tamil Nadu","Thanjavur","507.5","2316.46","4564.48"
"90","2010","11","Tamil Nadu","Madurai","94.77","432.12","4559.67"
"50","2017","1","Andhra Pradesh","S.P.S. Nellore","242.52","1105.54","4558.52"
"27","2015","6","Madhya Pradesh","Bhind","6.0","27.33","4555.0"
"171","2012","9","Punjab","Ludhiana","269.9","1226.6","4544.65"
"83","2014","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","158.23","716.1","4525.69"
"85","2013","11","Tamil Nadu","North Arcot / Vellore","122.0","551.9","4523.77"
"171","2008","9","Punjab","Ludhiana","266.75","1189.45","4459.04"
"85","2011","11","Tamil Nadu","North Arcot / Vellore","101.93","453.75","4451.58"
"50","2015","1","Andhra Pradesh","S.P.S. Nellore","305.12","1357.59","4449.4"
"93","2015","11","Tamil Nadu","The Nilgiris","0.32","1.42","4437.5"
"85","2017","11","Tamil Nadu","North Arcot / Vellore","216.65","959.42","4428.49"
"92","2010","11","Tamil Nadu","Thirunelveli","99.77","441.26","4422.77"
"88","2011","11","Tamil Nadu","Tiruchirapalli / Trichy","144.77","638.76","4412.36"
"171","2013","9","Punjab","Ludhiana","269.9","1189.65","4407.74"
"94","2009","11","Tamil Nadu","Kanyakumari","17.31","76.24","4404.39"
"171","2010","9","Punjab","Ludhiana","269.3","1185.35","4401.6"
"174","2009","9","Punjab","Bhatinda","277.2","1219.38","4398.92"
"88","2015","11","Tamil Nadu","Tiruchirapalli / Trichy","137.32","601.54","4380.47"
"174","2016","9","Punjab","Bhatinda","376.16","1646.58","4377.34"
"175","2010","9","Punjab","Sangrur","383.56","1677.92","4374.6"
"171","2014","9","Punjab","Ludhiana","269.9","1175.1","4353.83"
"174","2008","9","Punjab","Bhatinda","262.64","1143.16","4352.57"
"167","2017","9","Punjab","Kapurthala","118.0","513.0","4347.46"
"174","2013","9","Punjab","Bhatinda","294.7","1280.9","4346.45"
"175","2011","9","Punjab","Sangrur","385.88","1676.12","4343.63"
"90","2009","11","Tamil Nadu","Madurai","83.01","360.18","4339.0"
"27","2013","6","Madhya Pradesh","Bhind","4.8","20.81","4335.42"
"46","2017","1","Andhra Pradesh","East Godavari","386.54","1672.79","4327.61"
"176","2017","9","Punjab","Patiala","314.72","1359.15","4318.6"
"174","2015","9","Punjab","Bhatinda","347.26","1497.02","4310.95"
"176","2016","9","Punjab","Patiala","313.72","1351.85","4309.1"
"47","2017","1","Andhra Pradesh","West Godavari","393.22","1693.91","4307.75"
"94","2015","11","Tamil Nadu","Kanyakumari","12.96","55.79","4304.78"
"93","2013","11","Tamil Nadu","The Nilgiris","0.33","1.42","4303.03"
"84","2017","11","Tamil Nadu","South Arcot / Cuddalore","294.85","1267.83","4299.84"
"93","2016","11","Tamil Nadu","The Nilgiris","0.24","1.04","4292.18"
"92","2009","11","Tamil Nadu","Thirunelveli","105.54","452.56","4288.04"
"915","2008","15","Jharkhand","Palamau","59.07","253.2","4286.44"
"88","2016","11","Tamil Nadu","Tiruchirapalli / Trichy","123.55","529.5","4285.73"
"87","2014","11","Tamil Nadu","Coimbatore","74.8","320.06","4278.88"
"168","2017","9","Punjab","Jalandhar","207.6","887.02","4272.74"
"176","2009","9","Punjab","Patiala","321.22","1371.07","4268.32"
"170","2016","9","Punjab","Roopnagar / Ropar","53.5","228.0","4261.68"
"171","2011","9","Punjab","Ludhiana","269.9","1148.6","4255.65"
"172","2017","9","Punjab","Ferozpur","641.06","2726.58","4253.24"
"170","2015","9","Punjab","Roopnagar / Ropar","51.5","219.0","4252.43"
"174","2012","9","Punjab","Bhatinda","287.96","1223.34","4248.3"
"172","2008","9","Punjab","Ferozpur","529.36","2246.84","4244.45"
"92","2008","11","Tamil Nadu","Thirunelveli","113.72","482.37","4241.73"
"46","2016","1","Andhra Pradesh","East Godavari","383.96","1627.03","4237.51"
"86","2010","11","Tamil Nadu","Salem","86.56","365.08","4217.65"
"176","2008","9","Punjab","Patiala","316.95","1332.51","4204.16"
"50","2016","1","Andhra Pradesh","S.P.S. Nellore","219.86","919.78","4183.55"
"83","2017","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","193.22","807.43","4178.74"
"83","2011","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","169.64","708.45","4176.2"
"49","2017","1","Andhra Pradesh","Guntur","224.27","936.37","4175.12"
"47","2016","1","Andhra Pradesh","West Godavari","399.41","1666.1","4171.38"
"168","2016","9","Punjab","Jalandhar","206.6","857.6","4151.02"
"90","2015","11","Tamil Nadu","Madurai","85.6","354.99","4147.08"
"172","2012","9","Punjab","Ferozpur","560.04","2321.66","4145.53"
"83","2012","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","156.12","645.34","4133.62"
"86","2009","11","Tamil Nadu","Salem","71.87","297.07","4133.44"
"174","2014","9","Punjab","Bhatinda","309.68","1280.0","4133.3"
"86","2012","11","Tamil Nadu","Salem","48.23","199.06","4127.31"
"93","2011","11","Tamil Nadu","The Nilgiris","0.4","1.65","4125.0"
"49","2016","1","Andhra Pradesh","Guntur","194.37","801.72","4124.67"
"90","2008","11","Tamil Nadu","Madurai","101.92","420.18","4122.65"
"172","2016","9","Punjab","Ferozpur","642.84","2649.42","4121.43"
"176","2013","9","Punjab","Patiala","310.72","1276.77","4109.07"
"172","2013","9","Punjab","Ferozpur","567.3","2328.1","4103.83"
"154","2011","10","Rajasthan","Jhalawar","1.78","7.3","4101.12"
"167","2016","9","Punjab","Kapurthala","118.0","483.0","4093.22"
"174","2010","9","Punjab","Bhatinda","284.84","1165.36","4091.28"
"169","2017","9","Punjab","Hoshiarpur","98.4","401.98","4085.16"
"90","2016","11","Tamil Nadu","Madurai","77.18","313.06","4056.26"
"176","2012","9","Punjab","Patiala","314.72","1276.18","4054.97"
"50","2012","1","Andhra Pradesh","S.P.S. Nellore","270.94","1098.63","4054.89"
"176","2015","9","Punjab","Patiala","311.72","1263.68","4053.89"
"89","2014","11","Tamil Nadu","Thanjavur","543.51","2195.63","4039.75"
"170","2017","9","Punjab","Roopnagar / Ropar","55.5","224.0","4036.04"
"86","2008","11","Tamil Nadu","Salem","78.83","317.71","4030.32"
"89","2011","11","Tamil Nadu","Thanjavur","450.12","1813.04","4027.91"
"172","2009","9","Punjab","Ferozpur","535.8","2157.62","4026.91"
"85","2016","11","Tamil Nadu","North Arcot / Vellore","183.45","737.75","4021.55"
"167","2015","9","Punjab","Kapurthala","118.0","474.0","4016.95"
"174","2011","9","Punjab","Bhatinda","275.88","1108.16","4016.82"
"56","2016","20","Telangana","Nizamabad","265.97","1067.01","4011.74"
"50","2013","1","Andhra Pradesh","S.P.S. Nellore","277.55","1113.37","4011.42"
"92","2012","11","Tamil Nadu","Thirunelveli","51.63","207.05","4010.27"
"94","2016","11","Tamil Nadu","Kanyakumari","12.16","48.67","4003.78"
"56","2013","20","Telangana","Nizamabad","260.81","1044.19","4003.64"
"50","2014","1","Andhra Pradesh","S.P.S. Nellore","280.73","1123.27","4001.19"
"183","2017","4","Haryana","Ambala","170.6","681.0","3991.79"
"48","2017","1","Andhra Pradesh","Krishna","258.73","1031.95","3988.57"
"169","2016","9","Punjab","Hoshiarpur","97.4","388.4","3987.68"
"176","2014","9","Punjab","Patiala","310.72","1238.98","3987.45"
"172","2015","9","Punjab","Ferozpur","624.74","2489.98","3985.63"
"50","2011","1","Andhra Pradesh","S.P.S. Nellore","299.61","1193.7","3984.22"
"168","2009","9","Punjab","Jalandhar","195.16","777.52","3984.01"
"88","2010","11","Tamil Nadu","Tiruchirapalli / Trichy","150.38","598.76","3981.63"
"183","2012","4","Haryana","Ambala","162.13","645.0","3978.29"
"51","2016","1","Andhra Pradesh","Kurnool","115.13","457.91","3977.44"
"84","2015","11","Tamil Nadu","South Arcot / Cuddalore","322.29","1280.44","3972.94"
"47","2014","1","Andhra Pradesh","West Godavari","409.29","1624.32","3968.63"
"166","2017","9","Punjab","Amritsar","362.0","1436.0","3966.85"
"46","2014","1","Andhra Pradesh","East Godavari","394.12","1563.23","3966.38"
