"Dist Code","Year","State Code","State Name","Dist Name","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)"
"1","2008","14","Chhattisgarh","Durg","0.46","0.72","1567.28"
"1","2009","14","Chhattisgarh","Durg","0.56","1.02","1814.16"
"1","2010","14","Chhattisgarh","Durg","0.51","0.96","1861.6"
"1","2011","14","Chhattisgarh","Durg","0.54","0.84","1561.11"
"1","2012","14","Chhattisgarh","Durg","0.48","0.72","1502.72"
"1","2013","14","Chhattisgarh","Durg","0.49","0.9","1817.44"
"1","2014","14","Chhattisgarh","Durg","0.43","0.7","1627.06"
"1","2015","14","Chhattisgarh","Durg","0.44","0.75","1687.82"
"1","2016","14","Chhattisgarh","Durg","0.35","0.7","2020.21"
"1","2017","14","Chhattisgarh","Durg","0.45","0.77","1722.94"
"2","2008","14","Chhattisgarh","Bastar","0.05","0.07","1400.0"
"2","2009","14","Chhattisgarh","Bastar","0.02","0.03","1500.0"
"2","2010","14","Chhattisgarh","Bastar","0.0","0.0","0.0"
"2","2011","14","Chhattisgarh","Bastar","0.01","0.01","1000.0"
"2","2012","14","Chhattisgarh","Bastar","0.02","0.03","1500.0"
"2","2013","14","Chhattisgarh","Bastar","0.03","0.05","1666.67"
"2","2014","14","Chhattisgarh","Bastar","0.03","0.04","1333.33"
"2","2015","14","Chhattisgarh","Bastar","0.06","0.09","1500.0"
"2","2016","14","Chhattisgarh","Bastar","0.07","0.12","1811.59"
"2","2017","14","Chhattisgarh","Bastar","0.06","0.08","1410.71"
"3","2008","14","Chhattisgarh","Raipur","6.76","7.93","1173.08"
"3","2009","14","Chhattisgarh","Raipur","7.18","9.5","1323.12"
"3","2010","14","Chhattisgarh","Raipur","6.2","9.51","1533.87"
"3","2011","14","Chhattisgarh","Raipur","6.14","8.06","1312.7"
"3","2012","14","Chhattisgarh","Raipur","6.54","9.58","1464.83"
"3","2013","14","Chhattisgarh","Raipur","6.4","9.38","1465.62"
"3","2014","14","Chhattisgarh","Raipur","6.28","8.26","1315.29"
"3","2015","14","Chhattisgarh","Raipur","7.06","8.63","1222.38"
"3","2016","14","Chhattisgarh","Raipur","4.7","8.14","1733.76"
"3","2017","14","Chhattisgarh","Raipur","4.87","5.34","1097.62"
"4","2008","14","Chhattisgarh","Bilaspur","3.31","4.21","1271.81"
"4","2009","14","Chhattisgarh","Bilaspur","6.31","9.82","1556.88"
"4","2010","14","Chhattisgarh","Bilaspur","5.89","10.34","1757.26"
"4","2011","14","Chhattisgarh","Bilaspur","3.03","4.29","1415.05"
"4","2012","14","Chhattisgarh","Bilaspur","3.0","4.07","1356.29"
"4","2013","14","Chhattisgarh","Bilaspur","2.98","4.13","1388.65"
"4","2014","14","Chhattisgarh","Bilaspur","2.94","4.13","1404.76"
"4","2015","14","Chhattisgarh","Bilaspur","2.85","3.9","1370.52"
"4","2016","14","Chhattisgarh","Bilaspur","2.79","5.23","1872.89"
"4","2017","14","Chhattisgarh","Bilaspur","2.38","3.58","1504.8"
"5","2008","14","Chhattisgarh","Raigarh","11.37","14.99","1318.38"
"5","2009","14","Chhattisgarh","Raigarh","8.46","14.99","1771.87"
"5","2010","14","Chhattisgarh","Raigarh","8.3","13.1","1578.31"
"5","2011","14","Chhattisgarh","Raigarh","11.09","14.81","1335.44"
"5","2012","14","Chhattisgarh","Raigarh","11.59","15.97","1377.91"
"5","2013","14","Chhattisgarh","Raigarh","11.39","17.66","1550.48"
"5","2014","14","Chhattisgarh","Raigarh","11.31","16.39","1449.16"
"5","2015","14","Chhattisgarh","Raigarh","11.03","14.73","1335.45"
"5","2016","14","Chhattisgarh","Raigarh","11.05","21.05","1905.06"
"5","2017","14","Chhattisgarh","Raigarh","10.18","14.52","1425.37"
"6","2008","14","Chhattisgarh","Surguja","8.12","9.87","1215.52"
"6","2009","14","Chhattisgarh","Surguja","8.08","9.7","1200.5"
"6","2010","14","Chhattisgarh","Surguja","8.1","8.5","1049.38"
"6","2011","14","Chhattisgarh","Surguja","7.86","9.85","1253.18"
"6","2012","14","Chhattisgarh","Surguja","7.77","10.12","1302.45"
"6","2013","14","Chhattisgarh","Surguja","7.89","10.28","1302.92"
"6","2014","14","Chhattisgarh","Surguja","8.09","11.27","1393.08"
"6","2015","14","Chhattisgarh","Surguja","7.6","9.15","1203.95"
"6","2016","14","Chhattisgarh","Surguja","7.77","11.68","1503.15"
"6","2017","14","Chhattisgarh","Surguja","7.47","7.83","1047.1"
"7","2008","6","Madhya Pradesh","Jabalpur","0.1","0.1","1000.0"
"7","2009","6","Madhya Pradesh","Jabalpur","0.1","0.1","1000.0"
"7","2010","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0"
"7","2011","6","Madhya Pradesh","Jabalpur","0.1","0.1","1000.0"
"7","2012","6","Madhya Pradesh","Jabalpur","0.18","0.37","2055.56"
"7","2013","6","Madhya Pradesh","Jabalpur","0.19","0.31","1631.58"
"7","2014","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0"
"7","2015","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0"
"7","2016","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0"
"7","2017","6","Madhya Pradesh","Jabalpur","0.16","0.14","875.0"
"8","2008","6","Madhya Pradesh","Balaghat","0.5","0.5","1000.0"
"8","2009","6","Madhya Pradesh","Balaghat","0.8","0.7","875.0"
"8","2010","6","Madhya Pradesh","Balaghat","0.8","1.1","1375.0"
"8","2011","6","Madhya Pradesh","Balaghat","0.0","0.1","0.0"
"8","2012","6","Madhya Pradesh","Balaghat","0.7","1.05","1500.0"
