"Dist Code","Year","State Code","State Name","Dist Name","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)"
"1","2008","14","Chhattisgarh","Durg","7.54","0.84","111.7"
"1","2009","14","Chhattisgarh","Durg","7.13","1.65","231.58"
"1","2010","14","Chhattisgarh","Durg","4.42","1.13","256.96"
"1","2011","14","Chhattisgarh","Durg","4.07","2.06","506.02"
"1","2012","14","Chhattisgarh","Durg","4.97","1.26","252.98"
"1","2013","14","Chhattisgarh","Durg","3.94","0.93","237.45"
"1","2014","14","Chhattisgarh","Durg","5.75","3.46","602.17"
"1","2015","14","Chhattisgarh","Durg","11.23","2.57","228.49"
"1","2016","14","Chhattisgarh","Durg","18.52","7.21","389.38"
"1","2017","14","Chhattisgarh","Durg","19.85","3.59","181.06"
"2","2008","14","Chhattisgarh","Bastar","1.19","0.22","184.87"
"2","2009","14","Chhattisgarh","Bastar","1.03","0.34","330.1"
"2","2010","14","Chhattisgarh","Bastar","1.02","0.12","117.65"
"2","2011","14","Chhattisgarh","Bastar","0.54","0.34","629.63"
"2","2012","14","Chhattisgarh","Bastar","0.45","0.16","355.56"
"2","2013","14","Chhattisgarh","Bastar","0.52","0.14","269.23"
"2","2014","14","Chhattisgarh","Bastar","0.61","0.33","540.98"
"2","2015","14","Chhattisgarh","Bastar","0.34","0.1","298.52"
"2","2016","14","Chhattisgarh","Bastar","0.9","0.2","218.24"
"2","2017","14","Chhattisgarh","Bastar","0.72","0.11","152.5"
"3","2008","14","Chhattisgarh","Raipur","0.29","0.06","206.9"
"3","2009","14","Chhattisgarh","Raipur","0.25","0.01","40.0"
"3","2010","14","Chhattisgarh","Raipur","0.13","0.04","307.69"
"3","2011","14","Chhattisgarh","Raipur","0.13","0.07","538.46"
"3","2012","14","Chhattisgarh","Raipur","0.22","0.08","363.64"
"3","2013","14","Chhattisgarh","Raipur","0.23","0.08","347.83"
"3","2014","14","Chhattisgarh","Raipur","0.24","0.14","583.33"
"3","2015","14","Chhattisgarh","Raipur","0.3","0.09","297.3"
"3","2016","14","Chhattisgarh","Raipur","0.34","0.07","201.17"
"3","2017","14","Chhattisgarh","Raipur","0.27","0.05","174.91"
"4","2008","14","Chhattisgarh","Bilaspur","2.63","0.38","143.66"
"4","2009","14","Chhattisgarh","Bilaspur","2.49","0.62","248.51"
"4","2010","14","Chhattisgarh","Bilaspur","1.18","0.27","232.46"
"4","2011","14","Chhattisgarh","Bilaspur","1.05","0.69","657.17"
"4","2012","14","Chhattisgarh","Bilaspur","1.26","0.3","240.21"
"4","2013","14","Chhattisgarh","Bilaspur","1.49","0.36","237.88"
"4","2014","14","Chhattisgarh","Bilaspur","1.86","1.18","633.11"
"4","2015","14","Chhattisgarh","Bilaspur","4.29","0.96","224.31"
"4","2016","14","Chhattisgarh","Bilaspur","6.5","2.77","426.57"
"4","2017","14","Chhattisgarh","Bilaspur","7.57","0.83","109.36"
"5","2008","14","Chhattisgarh","Raigarh","0.68","0.15","220.59"
"5","2009","14","Chhattisgarh","Raigarh","0.61","0.15","245.9"
"5","2010","14","Chhattisgarh","Raigarh","0.62","0.11","177.42"
"5","2011","14","Chhattisgarh","Raigarh","0.35","0.2","571.43"
"5","2012","14","Chhattisgarh","Raigarh","0.28","0.09","321.43"
"5","2013","14","Chhattisgarh","Raigarh","0.3","0.09","300.0"
"5","2014","14","Chhattisgarh","Raigarh","0.37","0.19","513.51"
"5","2015","14","Chhattisgarh","Raigarh","0.25","0.08","312.6"
"5","2016","14","Chhattisgarh","Raigarh","0.54","0.1","176.44"
"5","2017","14","Chhattisgarh","Raigarh","0.43","0.09","205.34"
"6","2008","14","Chhattisgarh","Surguja","3.66","0.57","155.74"
"6","2009","14","Chhattisgarh","Surguja","3.14","0.76","242.04"
"6","2010","14","Chhattisgarh","Surguja","2.1","0.6","285.71"
"6","2011","14","Chhattisgarh","Surguja","2.01","1.2","597.01"
"6","2012","14","Chhattisgarh","Surguja","2.04","0.68","333.33"
"6","2013","14","Chhattisgarh","Surguja","2.74","0.79","288.32"
"6","2014","14","Chhattisgarh","Surguja","3.62","2.35","649.17"
"6","2015","14","Chhattisgarh","Surguja","2.82","0.89","317.28"
"6","2016","14","Chhattisgarh","Surguja","4.58","0.62","134.53"
"6","2017","14","Chhattisgarh","Surguja","6.0","1.75","292.49"
"7","2008","6","Madhya Pradesh","Jabalpur","0.5","1.3","2600.0"
"7","2009","6","Madhya Pradesh","Jabalpur","0.7","1.8","2571.43"
"7","2010","6","Madhya Pradesh","Jabalpur","0.4","1.1","2750.0"
"7","2011","6","Madhya Pradesh","Jabalpur","0.5","1.3","2600.0"
"7","2012","6","Madhya Pradesh","Jabalpur","0.23","0.68","2956.52"
"7","2013","6","Madhya Pradesh","Jabalpur","0.9","2.77","3077.78"
"7","2014","6","Madhya Pradesh","Jabalpur","1.0","3.0","3000.0"
"7","2015","6","Madhya Pradesh","Jabalpur","3.0","11.0","3666.67"
"7","2016","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0"
"7","2017","6","Madhya Pradesh","Jabalpur","3.37","1.79","529.97"
"8","2008","6","Madhya Pradesh","Balaghat","0.8","3.9","4875.0"
"8","2009","6","Madhya Pradesh","Balaghat","0.9","4.6","5111.11"
"8","2010","6","Madhya Pradesh","Balaghat","0.7","3.6","5142.86"
"8","2011","6","Madhya Pradesh","Balaghat","1.5","5.5","3666.67"
"8","2012","6","Madhya Pradesh","Balaghat","0.68","3.42","5029.41"
"8","2013","6","Madhya Pradesh","Balaghat","0.91","4.86","5340.66"
"8","2014","6","Madhya Pradesh","Balaghat","1.0","5.0","5000.0"
"8","2015","6","Madhya Pradesh","Balaghat","1.0","3.0","3000.0"
"8","2016","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0"
"8","2017","6","Madhya Pradesh","Balaghat","3.7","1.91","515.14"
"9","2008","6","Madhya Pradesh","Chhindwara","5.9","38.3","6491.53"
"9","2009","6","Madhya Pradesh","Chhindwara","4.7","30.9","6574.47"
"9","2010","6","Madhya Pradesh","Chhindwara","4.7","32.2","6851.06"
"9","2011","6","Madhya Pradesh","Chhindwara","6.1","41.3","6770.49"
"9","2012","6","Madhya Pradesh","Chhindwara","5.72","38.83","6788.46"
"9","2013","6","Madhya Pradesh","Chhindwara","4.53","31.38","6927.15"
"9","2014","6","Madhya Pradesh","Chhindwara","6.0","35.0","5833.33"
"9","2015","6","Madhya Pradesh","Chhindwara","4.0","19.0","4750.0"
"9","2016","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0"
"9","2017","6","Madhya Pradesh","Chhindwara","11.0","4.4","400.0"
"10","2008","6","Madhya Pradesh","Narsinghpur","18.7","93.4","4994.65"
"10","2009","6","Madhya Pradesh","Narsinghpur","16.0","70.2","4387.5"
"10","2010","6","Madhya Pradesh","Narsinghpur","15.2","66.9","4401.32"
"10","2011","6","Madhya Pradesh","Narsinghpur","25.6","104.0","4062.5"
"10","2012","6","Madhya Pradesh","Narsinghpur","19.08","116.34","6097.48"
"10","2013","6","Madhya Pradesh","Narsinghpur","24.26","120.56","4969.5"
"10","2014","6","Madhya Pradesh","Narsinghpur","40.0","221.0","5525.0"
"10","2015","6","Madhya Pradesh","Narsinghpur","51.0","280.0","5490.2"
"10","2016","6","Madhya Pradesh","Narsinghpur","55.0","401.8","7305.45"
"10","2017","6","Madhya Pradesh","Narsinghpur","51.1","30.07","588.49"
"11","2008","6","Madhya Pradesh","Seoni / Shivani","1.2","3.6","3000.0"
"11","2009","6","Madhya Pradesh","Seoni / Shivani","1.0","3.1","3100.0"
"11","2010","6","Madhya Pradesh","Seoni / Shivani","1.1","3.4","3090.91"
"11","2011","6","Madhya Pradesh","Seoni / Shivani","0.9","2.4","2666.67"
"11","2012","6","Madhya Pradesh","Seoni / Shivani","0.77","2.36","3064.94"
"11","2013","6","Madhya Pradesh","Seoni / Shivani","0.63","3.15","5000.0"
"11","2014","6","Madhya Pradesh","Seoni / Shivani","1.0","5.0","5000.0"
"11","2015","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0"
"11","2016","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0"
"11","2017","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0"
"12","2008","6","Madhya Pradesh","Mandla","1.4","3.3","2357.14"
"12","2009","6","Madhya Pradesh","Mandla","1.2","3.0","2500.0"
"12","2010","6","Madhya Pradesh","Mandla","1.3","3.2","2461.54"
"12","2011","6","Madhya Pradesh","Mandla","1.5","2.6","1733.33"
"12","2012","6","Madhya Pradesh","Mandla","2.88","6.94","2409.72"
"12","2013","6","Madhya Pradesh","Mandla","0.25","1.03","4120.0"
"12","2014","6","Madhya Pradesh","Mandla","1.0","5.0","5000.0"
"12","2015","6","Madhya Pradesh","Mandla","2.0","10.0","5000.0"
"12","2016","6","Madhya Pradesh","Mandla","0.0","0.0","0.0"
"12","2017","6","Madhya Pradesh","Mandla","2.81","1.01","358.01"
"13","2008","6","Madhya Pradesh","Sagar","0.3","0.7","2333.33"
"13","2009","6","Madhya Pradesh","Sagar","0.3","0.7","2333.33"
"13","2010","6","Madhya Pradesh","Sagar","0.3","0.9","3000.0"
"13","2011","6","Madhya Pradesh","Sagar","0.7","1.2","1714.29"
"13","2012","6","Madhya Pradesh","Sagar","0.5","1.56","3120.0"
"13","2013","6","Madhya Pradesh","Sagar","0.2","0.64","3200.0"
"13","2014","6","Madhya Pradesh","Sagar","1.0","4.0","4000.0"
"13","2015","6","Madhya Pradesh","Sagar","0.0","0.0","0.0"
"13","2016","6","Madhya Pradesh","Sagar","0.3","1.4","4666.67"
"13","2017","6","Madhya Pradesh","Sagar","0.49","0.23","479.59"
"14","2008","6","Madhya Pradesh","Damoh","0.0","0.1","0.0"
"14","2009","6","Madhya Pradesh","Damoh","0.1","0.2","2000.0"
"14","2010","6","Madhya Pradesh","Damoh","0.1","0.2","2000.0"
"14","2011","6","Madhya Pradesh","Damoh","0.1","0.2","2000.0"
"14","2012","6","Madhya Pradesh","Damoh","0.06","0.19","3166.67"
"14","2013","6","Madhya Pradesh","Damoh","0.04","0.16","4000.0"
"14","2014","6","Madhya Pradesh","Damoh","1.0","4.0","4000.0"
"14","2015","6","Madhya Pradesh","Damoh","1.0","3.0","3000.0"
