"Dist Code","Year","State Code","State Name","Dist Name","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)"
"1","2008","14","Chhattisgarh","Durg","36.46","31.19","855.47"
"1","2009","14","Chhattisgarh","Durg","42.44","38.12","898.09"
"1","2010","14","Chhattisgarh","Durg","46.12","45.87","994.69"
"1","2011","14","Chhattisgarh","Durg","44.98","50.19","1115.68"
"1","2012","14","Chhattisgarh","Durg","43.87","47.69","1087.1"
"1","2013","14","Chhattisgarh","Durg","41.54","43.33","1043.06"
"1","2014","14","Chhattisgarh","Durg","44.25","50.96","1151.49"
"1","2015","14","Chhattisgarh","Durg","48.72","54.6","1120.74"
"1","2016","14","Chhattisgarh","Durg","48.94","61.84","1263.55"
"1","2017","14","Chhattisgarh","Durg","43.5","50.19","1153.77"
"2","2008","14","Chhattisgarh","Bastar","1.71","2.6","1520.47"
"2","2009","14","Chhattisgarh","Bastar","1.64","2.95","1798.78"
"2","2010","14","Chhattisgarh","Bastar","1.6","3.2","2000.0"
"2","2011","14","Chhattisgarh","Bastar","1.33","2.49","1872.18"
"2","2012","14","Chhattisgarh","Bastar","1.25","2.47","1976.0"
"2","2013","14","Chhattisgarh","Bastar","0.97","1.75","1804.12"
"2","2014","14","Chhattisgarh","Bastar","0.81","1.86","2296.3"
"2","2015","14","Chhattisgarh","Bastar","0.84","1.75","2083.33"
"2","2016","14","Chhattisgarh","Bastar","0.67","1.53","2265.58"
"2","2017","14","Chhattisgarh","Bastar","1.24","2.22","1783.13"
"3","2008","14","Chhattisgarh","Raipur","10.82","11.04","1020.33"
"3","2009","14","Chhattisgarh","Raipur","12.67","18.01","1421.47"
"3","2010","14","Chhattisgarh","Raipur","11.3","15.2","1345.13"
"3","2011","14","Chhattisgarh","Raipur","10.54","17.89","1697.34"
"3","2012","14","Chhattisgarh","Raipur","9.76","17.75","1818.65"
"3","2013","14","Chhattisgarh","Raipur","9.21","15.86","1722.04"
"3","2014","14","Chhattisgarh","Raipur","10.38","21.24","2046.24"
"3","2015","14","Chhattisgarh","Raipur","10.99","19.3","1756.14"
"3","2016","14","Chhattisgarh","Raipur","8.8","17.95","2038.28"
"3","2017","14","Chhattisgarh","Raipur","14.56","23.66","1625.61"
"4","2008","14","Chhattisgarh","Bilaspur","17.54","18.05","1029.04"
"4","2009","14","Chhattisgarh","Bilaspur","24.25","28.14","1160.63"
"4","2010","14","Chhattisgarh","Bilaspur","24.88","30.13","1210.79"
"4","2011","14","Chhattisgarh","Bilaspur","19.08","26.28","1377.75"
"4","2012","14","Chhattisgarh","Bilaspur","18.7","27.31","1460.32"
"4","2013","14","Chhattisgarh","Bilaspur","19.88","26.97","1356.73"
"4","2014","14","Chhattisgarh","Bilaspur","18.11","28.15","1554.83"
"4","2015","14","Chhattisgarh","Bilaspur","17.82","27.03","1516.74"
"4","2016","14","Chhattisgarh","Bilaspur","16.2","25.1","1549.23"
"4","2017","14","Chhattisgarh","Bilaspur","15.8","21.72","1374.7"
"5","2008","14","Chhattisgarh","Raigarh","3.51","4.86","1384.62"
"5","2009","14","Chhattisgarh","Raigarh","3.72","4.87","1309.14"
"5","2010","14","Chhattisgarh","Raigarh","3.4","5.5","1617.65"
"5","2011","14","Chhattisgarh","Raigarh","3.63","6.27","1727.27"
"5","2012","14","Chhattisgarh","Raigarh","3.44","6.08","1767.44"
"5","2013","14","Chhattisgarh","Raigarh","6.67","11.5","1724.14"
"5","2014","14","Chhattisgarh","Raigarh","3.62","7.5","2071.82"
"5","2015","14","Chhattisgarh","Raigarh","3.56","6.15","1727.53"
"5","2016","14","Chhattisgarh","Raigarh","3.87","7.12","1840.7"
"5","2017","14","Chhattisgarh","Raigarh","3.91","6.76","1728.83"
"6","2008","14","Chhattisgarh","Surguja","24.81","29.68","1196.29"
"6","2009","14","Chhattisgarh","Surguja","24.47","26.84","1096.85"
"6","2010","14","Chhattisgarh","Surguja","23.98","27.45","1144.7"
"6","2011","14","Chhattisgarh","Surguja","25.29","32.02","1266.11"
"6","2012","14","Chhattisgarh","Surguja","25.21","41.92","1662.83"
"6","2013","14","Chhattisgarh","Surguja","26.77","41.33","1543.89"
"6","2014","14","Chhattisgarh","Surguja","26.02","43.61","1676.02"
"6","2015","14","Chhattisgarh","Surguja","23.87","33.51","1403.85"
"6","2016","14","Chhattisgarh","Surguja","23.63","37.56","1589.23"
"6","2017","14","Chhattisgarh","Surguja","23.18","37.09","1599.85"
"7","2008","6","Madhya Pradesh","Jabalpur","157.7","245.8","1558.66"
"7","2009","6","Madhya Pradesh","Jabalpur","162.0","229.4","1416.05"
"7","2010","6","Madhya Pradesh","Jabalpur","162.7","339.5","2086.66"
"7","2011","6","Madhya Pradesh","Jabalpur","166.0","381.6","2298.8"
"7","2012","6","Madhya Pradesh","Jabalpur","201.13","559.1","2779.79"
"7","2013","6","Madhya Pradesh","Jabalpur","218.66","546.79","2500.64"
"7","2014","6","Madhya Pradesh","Jabalpur","227.0","598.0","2634.36"
"7","2015","6","Madhya Pradesh","Jabalpur","202.0","623.0","3084.16"
"7","2016","6","Madhya Pradesh","Jabalpur","237.0","827.0","3489.45"
"7","2017","6","Madhya Pradesh","Jabalpur","300.7","1037.13","3449.05"
"8","2008","6","Madhya Pradesh","Balaghat","15.1","12.3","814.57"
"8","2009","6","Madhya Pradesh","Balaghat","14.7","19.5","1326.53"
"8","2010","6","Madhya Pradesh","Balaghat","15.1","22.9","1516.56"
"8","2011","6","Madhya Pradesh","Balaghat","22.7","29.8","1312.78"
"8","2012","6","Madhya Pradesh","Balaghat","18.32","23.72","1294.76"
"8","2013","6","Madhya Pradesh","Balaghat","17.52","22.85","1304.22"
"8","2014","6","Madhya Pradesh","Balaghat","38.0","56.0","1473.68"
"8","2015","6","Madhya Pradesh","Balaghat","20.0","27.0","1350.0"
"8","2016","6","Madhya Pradesh","Balaghat","35.0","64.0","1828.57"
"8","2017","6","Madhya Pradesh","Balaghat","55.56","138.12","2485.96"
"9","2008","6","Madhya Pradesh","Chhindwara","82.8","175.2","2115.94"
"9","2009","6","Madhya Pradesh","Chhindwara","111.1","425.2","3827.18"
"9","2010","6","Madhya Pradesh","Chhindwara","114.5","388.9","3396.51"
"9","2011","6","Madhya Pradesh","Chhindwara","122.1","278.84","2283.7"
"9","2012","6","Madhya Pradesh","Chhindwara","138.57","438.74","3166.2"
"9","2013","6","Madhya Pradesh","Chhindwara","146.14","332.52","2275.35"
"9","2014","6","Madhya Pradesh","Chhindwara","155.0","455.0","2935.48"
"9","2015","6","Madhya Pradesh","Chhindwara","165.0","636.0","3854.55"
"9","2016","6","Madhya Pradesh","Chhindwara","179.0","578.0","3229.05"
"9","2017","6","Madhya Pradesh","Chhindwara","181.0","619.2","3420.99"
"10","2008","6","Madhya Pradesh","Narsinghpur","62.3","189.7","3044.94"
"10","2009","6","Madhya Pradesh","Narsinghpur","65.1","169.4","2602.15"
"10","2010","6","Madhya Pradesh","Narsinghpur","68.8","226.9","3297.96"
"10","2011","6","Madhya Pradesh","Narsinghpur","63.6","253.2","3981.13"
"10","2012","6","Madhya Pradesh","Narsinghpur","82.0","240.82","2936.83"
"10","2013","6","Madhya Pradesh","Narsinghpur","93.17","198.02","2125.36"
"10","2014","6","Madhya Pradesh","Narsinghpur","94.0","305.0","3244.68"
"10","2015","6","Madhya Pradesh","Narsinghpur","95.0","388.0","4084.21"
"10","2016","6","Madhya Pradesh","Narsinghpur","100.0","404.0","4040.0"
"10","2017","6","Madhya Pradesh","Narsinghpur","92.0","320.71","3485.98"
"11","2008","6","Madhya Pradesh","Seoni / Shivani","103.1","90.1","873.91"
"11","2009","6","Madhya Pradesh","Seoni / Shivani","108.8","90.5","831.8"
"11","2010","6","Madhya Pradesh","Seoni / Shivani","111.7","102.1","914.06"
"11","2011","6","Madhya Pradesh","Seoni / Shivani","115.6","127.5","1102.94"
"11","2012","6","Madhya Pradesh","Seoni / Shivani","132.11","374.26","2832.94"
"11","2013","6","Madhya Pradesh","Seoni / Shivani","153.28","346.04","2257.57"
"11","2014","6","Madhya Pradesh","Seoni / Shivani","99.0","286.0","2888.89"
"11","2015","6","Madhya Pradesh","Seoni / Shivani","115.0","277.0","2408.7"
"11","2016","6","Madhya Pradesh","Seoni / Shivani","151.0","445.0","2947.02"
"11","2017","6","Madhya Pradesh","Seoni / Shivani","200.72","523.88","2610.0"
"12","2008","6","Madhya Pradesh","Mandla","60.0","46.0","766.67"
"12","2009","6","Madhya Pradesh","Mandla","61.5","42.1","684.55"
"12","2010","6","Madhya Pradesh","Mandla","45.2","32.7","723.45"
"12","2011","6","Madhya Pradesh","Mandla","68.0","51.3","754.41"
"12","2012","6","Madhya Pradesh","Mandla","71.01","115.32","1624.0"
"12","2013","6","Madhya Pradesh","Mandla","74.83","127.02","1697.45"
"12","2014","6","Madhya Pradesh","Mandla","143.0","198.0","1384.62"
"12","2015","6","Madhya Pradesh","Mandla","90.0","173.0","1922.22"
"12","2016","6","Madhya Pradesh","Mandla","98.0","270.0","2755.1"
"12","2017","6","Madhya Pradesh","Mandla","90.0","228.0","2533.33"
"13","2008","6","Madhya Pradesh","Sagar","150.1","188.2","1253.83"
"13","2009","6","Madhya Pradesh","Sagar","173.0","244.5","1413.29"
"13","2010","6","Madhya Pradesh","Sagar","172.5","186.5","1081.16"
"13","2011","6","Madhya Pradesh","Sagar","199.8","295.1","1476.98"
"13","2012","6","Madhya Pradesh","Sagar","213.45","449.7","2106.82"
"13","2013","6","Madhya Pradesh","Sagar","228.79","425.35","1859.13"
"13","2014","6","Madhya Pradesh","Sagar","185.0","394.0","2129.73"
"13","2015","6","Madhya Pradesh","Sagar","158.0","346.0","2189.87"
"13","2016","6","Madhya Pradesh","Sagar","202.0","557.0","2757.43"
"13","2017","6","Madhya Pradesh","Sagar","278.0","893.21","3212.99"
"14","2008","6","Madhya Pradesh","Damoh","67.0","131.8","1967.16"
"14","2009","6","Madhya Pradesh","Damoh","72.1","136.3","1890.43"
"14","2010","6","Madhya Pradesh","Damoh","71.8","171.4","2387.19"
"14","2011","6","Madhya Pradesh","Damoh","79.9","197.0","2465.58"
"14","2012","6","Madhya Pradesh","Damoh","82.43","167.97","2037.73"
"14","2013","6","Madhya Pradesh","Damoh","88.62","164.34","1854.43"
"14","2014","6","Madhya Pradesh","Damoh","93.0","201.0","2161.29"
"14","2015","6","Madhya Pradesh","Damoh","80.0","161.0","2012.5"
"14","2016","6","Madhya Pradesh","Damoh","95.0","333.0","3505.26"
"14","2017","6","Madhya Pradesh","Damoh","81.6","285.6","3500.0"
"15","2008","6","Madhya Pradesh","Tikamgarh","107.4","209.2","1947.86"
"15","2009","6","Madhya Pradesh","Tikamgarh","101.0","168.3","1666.34"
"15","2010","6","Madhya Pradesh","Tikamgarh","78.0","99.0","1269.23"
"15","2011","6","Madhya Pradesh","Tikamgarh","113.2","241.5","2133.39"
"15","2012","6","Madhya Pradesh","Tikamgarh","146.73","376.24","2564.17"
"15","2013","6","Madhya Pradesh","Tikamgarh","158.64","321.52","2026.73"
"15","2014","6","Madhya Pradesh","Tikamgarh","117.0","288.0","2461.54"
"15","2015","6","Madhya Pradesh","Tikamgarh","94.0","180.0","1914.89"
"15","2016","6","Madhya Pradesh","Tikamgarh","150.0","421.0","2806.67"
"15","2017","6","Madhya Pradesh","Tikamgarh","97.19","243.07","2500.98"
"16","2008","6","Madhya Pradesh","Chhatarpur","128.1","195.8","1528.49"
"16","2009","6","Madhya Pradesh","Chhatarpur","142.7","203.9","1428.87"
"16","2010","6","Madhya Pradesh","Chhatarpur","140.2","169.1","1206.13"
"16","2011","6","Madhya Pradesh","Chhatarpur","130.5","199.5","1528.74"
"16","2012","6","Madhya Pradesh","Chhatarpur","176.28","436.15","2474.19"
"16","2013","6","Madhya Pradesh","Chhatarpur","192.59","434.62","2256.71"
"16","2014","6","Madhya Pradesh","Chhatarpur","121.0","267.0","2206.61"
"16","2015","6","Madhya Pradesh","Chhatarpur","88.0","161.0","1829.55"
"16","2016","6","Madhya Pradesh","Chhatarpur","209.0","596.0","2851.67"
"16","2017","6","Madhya Pradesh","Chhatarpur","175.31","424.07","2418.97"
"17","2008","6","Madhya Pradesh","Panna","60.7","88.3","1454.7"
"17","2009","6","Madhya Pradesh","Panna","68.3","97.1","1421.67"
"17","2010","6","Madhya Pradesh","Panna","62.8","89.1","1418.79"
"17","2011","6","Madhya Pradesh","Panna","67.0","103.7","1547.76"
"17","2012","6","Madhya Pradesh","Panna","82.54","156.45","1895.44"
"17","2013","6","Madhya Pradesh","Panna","85.23","151.52","1777.78"
"17","2014","6","Madhya Pradesh","Panna","63.0","123.0","1952.38"
"17","2015","6","Madhya Pradesh","Panna","45.0","79.0","1755.56"
"17","2016","6","Madhya Pradesh","Panna","77.0","236.0","3064.94"
"17","2017","6","Madhya Pradesh","Panna","77.79","210.5","2706.0"
"18","2008","6","Madhya Pradesh","Rewa","155.7","165.3","1061.66"
